Phrase Used,Frequency of Phrase,Comment Sentence,likes,sentiment,date,video_id
foam mirrors,45,"This is a good reminder that every generation goes through a stupid phase, but also the foam mirrors are on their own level of nope.",2540,0.166666667,2024-02-10T17:29:56Z,5A1Zju6nlgM
celebrity house,14,What we need to have is an AD celebrity house tour bingo card.,1299,0,2024-02-17T17:26:36Z,u1yls5iX9r0
fairy lights,85,I donâ€™t think Iâ€™ll ever get tired of my fairy lights.,756,-0.4,2024-02-12T02:50:27Z,5A1Zju6nlgM
mushroom lamp,17,As an older GenZ (on the cusp) I really love all the mushroom lamps I see online.,465,0.333333333,2024-02-14T15:17:40Z,5A1Zju6nlgM
foam mirrors,45,"I actually never heard of foam mirrors, I mostly see moss mirrors, and decorating mirrors with fake plants.",465,0,2024-02-14T15:17:40Z,5A1Zju6nlgM
thrift stores,19,"I shop in thrift stores approximately 2-3x a week, every week.",449,-0.4,2024-01-06T17:04:11Z,MEBaKGIzKvc
quiet luxury,28,"Lone fox making a chair out of teddy bears, dissing quiet luxury, and colonial chic being uncomfortable.",350,-0.25,2023-12-30T19:05:32Z,7W04i_hYQHM
fairy lights,85,You will pry my fairy lights from my cold dead hands!,332,-0.425,2024-02-14T08:26:25Z,5A1Zju6nlgM
white walls,18,"I grew up in a house with wallpaper on every wall and rebelled by having white walls and a scandi, mid century, eclectic mix.",311,0,2024-02-10T17:46:34Z,5A1Zju6nlgM
double sink,57,"I have to disagree with you about double sinks, they are very practical!",308,0.05,2023-06-10T15:16:54Z,#NAME?
gen z,443,The gen z rooms make me think of romper rooms.,259,0,2024-02-10T17:31:17Z,5A1Zju6nlgM
hexagon tiles,19,Small hexagon tiles were the choice for floor tile in the 1920's.,238,-0.25,2024-02-10T17:25:12Z,5A1Zju6nlgM
living room,162,"The living room was wing chairs, cushy couch and an oriental rug.",214,0.9,2024-01-06T18:54:11Z,MEBaKGIzKvc
open shelving,25,"Trends.... All those people investing in all white, open shelving, marble everywhere, painting great old patina-ed wood, etc.",210,0.225,2023-01-01T04:03:02Z,viI39tQ2t2Y
tuscan kitchen,104,"""Boomers Tuscan Kitchen"" Laughed so hard at this as boomer who lived through tuscan kitchens.",205,0.204166667,2024-02-10T17:51:38Z,5A1Zju6nlgM
reclaimed wood,13,You're telling me that a few LED lights and some reclaimed wood won't make up for a 9000 sq ft home and 2 Land Rovers?,198,-0.2,2024-02-17T17:35:23Z,u1yls5iX9r0
backlit stone,23,I was not aware of the backlit stone trend and Iâ€™m honestly horrified.,193,0.2375,2023-12-23T18:36:09Z,9VHbvcSsNlg
fairy lights,85,I still stand by that fairy lights are cute in a dorm room ðŸ˜‚,186,0.5,2024-02-10T18:43:54Z,5A1Zju6nlgM
living room,162,Thank you for bringing JOY to our living room!,185,1,2024-02-03T18:21:52Z,jQ6570hCwCw
kitchen table,11,"Sitting beneath my ""Live Love Laugh"" sign and sitting on my bench at the kitchen table, I'm watching Nick and appreciating his many little nuggets of quips.",179,0.249772727,2024-01-06T18:56:52Z,MEBaKGIzKvc
